Product_ID,Product_Name,Category,Sub_Category,Brand,Unit_Of_Measure,Length_cm,Width_cm,Height_cm,Unit_Weight_kg,Selling_Price,Reorder_Level,Status
PROD0042,Allen Solly Men's Wear Model-261,Apparel,Men's Wear,Allen Solly,Pack,21.0,16.2,4.7,0.6,2849.72,77,Active
PROD0043,Puma Sports Shoes Model-540,Footwear,Sports Shoes,Puma,Pair,27.8,19.7,12.4,1.33,654.34,126,Active
PROD0044,Durian Bedroom Model-316,Furniture,Bedroom,Durian,Pcs,124.1,57.4,49.6,23.89,15926.94,118,Active
PROD0045,Bosch Bike Accessories Model-506,Automotive Accessories,Bike Accessories,Bosch,Box,11.7,10.6,28.0,5.2,4690.92,50,Active
PROD0046,JK Paper Paper Products Model-121,Office Supplies,Paper Products,JK Paper,Pcs,10.2,24.0,8.0,2.08,561.92,63,Active
PROD0047,Schneider Electric Measuring Instruments Model-180,Industrial Tools,Measuring Instruments,Schneider Electric,Set,53.5,31.9,10.5,9.42,1607.5,117,Active
PROD0048,Patanjali Personal Hygiene Model-844,Health & Wellness,Personal Hygiene,Patanjali,Box,9.7,7.2,7.0,1.24,2304.62,21,Active
PROD0049,Hawkins Small Kitchen Appliances Model-872,Kitchenware,Small Kitchen Appliances,Hawkins,Box,36.6,21.2,28.5,2.91,3231.2,130,Active
PROD0050,Funskool Soft Toys Model-580,Toys & Games,Soft Toys,Funskool,Box,28.9,25.9,16.8,0.94,444.83,54,Active
PROD0051,SG Yoga Accessories Model-760,Sports & Fitness,Yoga Accessories,SG,Pcs,79.6,25.2,16.6,8.4,9553.86,265,Active
PROD0052,MamyPoko Diapers Model-719,Baby Care,Diapers,MamyPoko,Box,30.1,38.7,29.8,3.26,2109.71,171,Active
PROD0053,VIP Travel Suitcases Model-353,Luggage & Bags,Travel Suitcases,VIP,Set,54.7,28.1,57.4,1.89,7843.49,31,Active
PROD0054,Pidilite Electrical Fittings Model-762,Hardware,Electrical Fittings,Pidilite,Pack,6.6,6.4,15.2,2.91,2908.75,48,Active
PROD0055,Sony Audio Model-696,Electronics,Audio,Sony,Box,14.2,13.7,19.4,2.47,34046.08,390,Active
PROD0056,Godrej Water Purifiers Model-758,Home Appliances,Water Purifiers,Godrej,Set,78.8,63.5,156.1,49.33,45338.4,132,Active
PROD0057,Parle Confectionery Model-118,FMCG - Food,Confectionery,Parle,Kg,11.2,19.3,11.6,3.84,169.76,19,Active
PROD0058,Dabur Skincare Model-777,FMCG - Personal Care,Skincare,Dabur,Pack,13.6,8.9,19.0,0.2,257.97,129,Active
PROD0059,Patanjali Surface Cleaners Model-548,FMCG - Home Care,Surface Cleaners,Patanjali,Pack,13.2,15.1,15.9,2.33,285.04,107,Active
PROD0060,Peter England Women's Wear Model-928,Apparel,Women's Wear,Peter England,Set,38.1,17.9,6.1,0.75,2150.51,34,Active
PROD0061,Adidas Sandals Model-936,Footwear,Sandals,Adidas,Pair,33.0,16.0,11.3,1.3,5295.05,63,Active
PROD0062,Durian Living Room Model-185,Furniture,Living Room,Durian,Pcs,70.0,94.3,51.8,21.37,33204.84,38,Active
PROD0063,3M Car Care Model-154,Automotive Accessories,Car Care,3M,Set,30.1,17.1,29.9,2.37,419.86,364,Active
PROD0064,Reynolds Desk Organizers Model-240,Office Supplies,Desk Organizers,Reynolds,Box,13.6,21.6,11.0,0.46,1067.14,50,Active
PROD0065,Taparia Power Tools Model-320,Industrial Tools,Power Tools,Taparia,Pcs,37.4,31.3,18.2,1.6,4677.47,162,Active
PROD0066,Dabur First Aid Model-213,Health & Wellness,First Aid,Dabur,Set,16.9,5.2,10.2,0.56,516.37,307,Active
PROD0067,Milton Small Kitchen Appliances Model-780,Kitchenware,Small Kitchen Appliances,Milton,Box,13.0,34.4,11.4,2.73,2610.54,45,Discontinued
PROD0068,Funskool Soft Toys Model-750,Toys & Games,Soft Toys,Funskool,Box,39.4,15.1,5.3,1.99,1337.85,130,Active
PROD0069,SS Yoga Accessories Model-145,Sports & Fitness,Yoga Accessories,SS,Set,72.3,34.4,9.4,11.73,5709.32,50,Active
PROD0070,Himalaya Diapers Model-833,Baby Care,Diapers,Himalaya,Box,11.5,16.0,48.5,3.55,857.43,35,Active
PROD0071,Wildcraft Duffle Bags Model-137,Luggage & Bags,Duffle Bags,Wildcraft,Pcs,33.6,36.6,32.2,3.09,2685.73,261,Active
PROD0072,Hindware Paints & Finishes Model-447,Hardware,Paints & Finishes,Hindware,Box,17.4,12.5,18.9,5.24,3214.53,15,Active
PROD0073,Wipro Laptops Model-400,Electronics,Laptops,Wipro,Set,13.1,13.2,7.3,1.62,61340.15,38,Active
PROD0074,Blue Star Refrigerators Model-729,Home Appliances,Refrigerators,Blue Star,Set,46.5,79.0,172.7,9.5,42344.53,20,Active
PROD0075,Bikaji Beverages Model-135,FMCG - Food,Beverages,Bikaji,Box,6.3,16.7,12.3,1.95,462.45,38,Active
PROD0076,Boroplus Oral Care Model-881,FMCG - Personal Care,Oral Care,Boroplus,Pcs,10.3,8.2,16.0,0.67,337.05,21,Active
PROD0077,Unilever Air Fresheners Model-220,FMCG - Home Care,Air Fresheners,Unilever,Box,20.5,15.6,15.4,3.14,636.82,75,Active
PROD0078,Reliance Men's Wear Model-276,Apparel,Men's Wear,Reliance,Pack,28.9,16.3,6.1,1.04,1642.27,14,Active
PROD0079,Puma Casual Shoes Model-971,Footwear,Casual Shoes,Puma,Pair,32.1,21.5,13.2,1.51,3249.03,75,Active
PROD0080,Pepperfry Bedroom Model-126,Furniture,Bedroom,Pepperfry,Set,100.9,62.1,104.3,26.17,22000.27,89,Active
PROD0081,Philips Electronics Model-520,Automotive Accessories,Electronics,Philips,Set,42.9,12.2,29.3,3.93,3709.8,238,Active
PROD0082,Reynolds Writing Instruments Model-543,Office Supplies,Writing Instruments,Reynolds,Box,29.9,15.4,6.0,0.53,1404.06,392,Active
PROD0083,Bosch Safety Gear Model-356,Industrial Tools,Safety Gear,Bosch,Pcs,41.8,25.6,8.1,3.84,8235.43,20,Active
PROD0084,Himalaya Medical Devices Model-774,Health & Wellness,Medical Devices,Himalaya,Pcs,21.9,13.5,13.3,0.15,231.84,123,Active
PROD0085,Cello Dinnerware Model-526,Kitchenware,Dinnerware,Cello,Box,32.4,22.5,22.5,1.59,4789.75,35,Active
PROD0086,Funskool Board Games Model-261,Toys & Games,Board Games,Funskool,Box,22.5,19.3,11.8,0.44,3042.9,32,Active
PROD0087,Cosco Cricket Gear Model-627,Sports & Fitness,Cricket Gear,Cosco,Pair,26.1,17.3,8.1,6.85,1905.31,34,Active
PROD0088,Pampers Strollers Model-986,Baby Care,Strollers,Pampers,Pack,42.5,38.0,44.7,0.84,482.42,269,Active
PROD0089,Skybags Handbags Model-123,Luggage & Bags,Handbags,Skybags,Pcs,53.4,27.6,73.5,1.28,3323.16,41,Active
PROD0090,Finolex Paints & Finishes Model-649,Hardware,Paints & Finishes,Finolex,Pcs,26.2,11.5,18.2,7.3,3067.23,252,Active
PROD0091,Dell Accessories Model-471,Electronics,Accessories,Dell,Box,18.7,14.7,10.1,1.97,70361.09,306,Active
PROD0092,Godrej Refrigerators Model-482,Home Appliances,Refrigerators,Godrej,Set,63.5,48.3,60.2,41.15,27586.69,54,Active
PROD0093,Bikaji Staples Model-631,FMCG - Food,Staples,Bikaji,Litre,8.0,18.4,5.9,4.66,268.45,49,Active
PROD0094,Emami Oral Care Model-619,FMCG - Personal Care,Oral Care,Emami,Box,9.9,9.7,14.5,0.82,473.61,103,Active
PROD0095,Unilever Detergents Model-585,FMCG - Home Care,Detergents,Unilever,Box,24.3,16.7,29.4,2.97,660.4,71,Active
PROD0096,Reliance Innerwear Model-251,Apparel,Innerwear,Reliance,Pack,24.8,23.6,6.2,0.35,2152.36,255,Active
PROD0097,Sparx Sandals Model-893,Footwear,Sandals,Sparx,Box,33.7,20.2,10.3,0.59,1561.11,134,Active
PROD0098,Durian Storage Model-277,Furniture,Storage,Durian,Set,140.3,60.5,68.3,35.42,25650.97,26,Active
PROD0099,Studds Helmets Model-385,Automotive Accessories,Helmets,Studds,Box,21.9,38.2,29.6,4.67,5698.23,41,Active
PROD0100,Cello Desk Organizers Model-914,Office Supplies,Desk Organizers,Cello,Pcs,13.6,16.5,9.1,2.69,609.96,148,Active
PROD0101,Bosch Safety Gear Model-394,Industrial Tools,Safety Gear,Bosch,Box,14.0,37.6,21.4,9.04,3602.81,84,Active
PROD0102,Himalaya Personal Hygiene Model-211,Health & Wellness,Personal Hygiene,Himalaya,Box,9.8,15.0,10.3,1.31,252.22,40,Active
PROD0103,Prestige Dinnerware Model-663,Kitchenware,Dinnerware,Prestige,Pcs,24.2,33.4,27.6,2.49,1117.36,91,Active
PROD0104,Funskool Board Games Model-767,Toys & Games,Board Games,Funskool,Set,17.0,24.8,22.0,0.19,3240.85,21,Active
PROD0105,Decathlon Fitness Equipment Model-906,Sports & Fitness,Fitness Equipment,Decathlon,Set,34.6,32.5,26.8,4.48,690.23,304,Active
PROD0106,MamyPoko Baby Bath Model-565,Baby Care,Baby Bath,MamyPoko,Pcs,31.7,24.8,56.6,3.42,1223.25,17,Active
PROD0107,Wildcraft Duffle Bags Model-835,Luggage & Bags,Duffle Bags,Wildcraft,Pcs,25.4,23.4,43.3,3.17,2045.29,131,Active
PROD0108,Anchor Paints & Finishes Model-435,Hardware,Paints & Finishes,Anchor,Pcs,15.0,6.4,19.7,4.83,14113.66,38,Active
PROD0109,Logitech Audio Model-696,Electronics,Audio,Logitech,Box,27.2,11.5,8.5,0.9,57160.48,70,Active
PROD0110,Voltas Water Purifiers Model-806,Home Appliances,Water Purifiers,Voltas,Pcs,68.3,77.0,91.5,18.25,62335.03,39,Active
PROD0111,Parle Confectionery Model-525,FMCG - Food,Confectionery,Parle,Litre,20.1,17.0,25.1,3.82,550.67,351,Active
PROD0112,Emami Soaps & Bodywash Model-179,FMCG - Personal Care,Soaps & Bodywash,Emami,Box,5.2,10.6,23.5,0.24,667.16,43,Active
PROD0113,Patanjali Surface Cleaners Model-697,FMCG - Home Care,Surface Cleaners,Patanjali,Pcs,6.8,12.7,30.2,2.38,481.39,164,Active
PROD0114,VIP Kids Wear Model-122,Apparel,Kids Wear,VIP,Set,25.1,15.0,3.3,0.23,2079.53,119,Active
PROD0115,Campus Sports Shoes Model-132,Footwear,Sports Shoes,Campus,Box,29.1,20.4,13.8,1.77,4016.93,34,Active
PROD0116,Pepperfry Storage Model-182,Furniture,Storage,Pepperfry,Pcs,111.9,60.9,54.3,25.56,19216.23,24,Active
PROD0117,Vega Car Care Model-574,Automotive Accessories,Car Care,Vega,Box,38.8,22.7,14.5,1.53,3792.88,22,Active
PROD0118,ITC Classmate Paper Products Model-928,Office Supplies,Paper Products,ITC Classmate,Set,23.4,23.7,13.6,0.76,128.92,107,Active
PROD0119,Stanley Power Tools Model-858,Industrial Tools,Power Tools,Stanley,Pcs,30.1,15.5,10.4,10.41,1318.44,224,Active
PROD0120,Dr. Morepen Personal Hygiene Model-712,Health & Wellness,Personal Hygiene,Dr. Morepen,Pcs,9.7,18.1,14.9,1.09,1299.32,121,Active
PROD0121,Bajaj Dinnerware Model-795,Kitchenware,Dinnerware,Bajaj,Set,29.5,11.2,16.9,3.29,1998.6,328,Active
PROD0122,Mattel Educational Toys Model-485,Toys & Games,Educational Toys,Mattel,Pcs,32.6,19.5,22.0,0.82,2535.0,13,Active
PROD0123,Nivia Team Sports Model-642,Sports & Fitness,Team Sports,Nivia,Pcs,55.8,17.6,13.3,1.37,5535.0,44,Active
PROD0124,Himalaya Diapers Model-374,Baby Care,Diapers,Himalaya,Box,36.9,28.1,53.0,0.83,1928.07,121,Active
PROD0125,Wildcraft Travel Suitcases Model-410,Luggage & Bags,Travel Suitcases,Wildcraft,Pcs,31.4,19.8,63.4,3.46,6534.65,48,Active
PROD0126,Havells Paints & Finishes Model-665,Hardware,Paints & Finishes,Havells,Pack,24.4,10.7,13.0,3.66,1083.17,41,Active
PROD0127,JBL Wearables Model-308,Electronics,Wearables,JBL,Set,19.4,6.1,17.6,2.62,2559.23,47,Active
PROD0128,Voltas Microwaves Model-256,Home Appliances,Microwaves,Voltas,Pcs,49.8,49.0,156.7,34.96,43413.0,82,Active
PROD0129,Bikaji Dairy Products Model-571,FMCG - Food,Dairy Products,Bikaji,Box,19.7,10.3,5.9,2.76,163.56,132,Active
PROD0130,Dabur Grooming Model-959,FMCG - Personal Care,Grooming,Dabur,Pcs,14.4,9.3,21.5,0.44,1018.93,19,Discontinued
PROD0131,Dabur Insecticides Model-482,FMCG - Home Care,Insecticides,Dabur,Pack,17.4,15.0,25.4,2.52,1885.67,10,Discontinued
PROD0132,Titan Kids Wear Model-393,Apparel,Kids Wear,Titan,Pcs,30.0,25.5,4.6,1.14,1052.92,284,Active
PROD0133,Sparx Formal Shoes Model-639,Footwear,Formal Shoes,Sparx,Box,33.2,16.9,12.0,0.92,2673.75,328,Active
PROD0134,Godrej Interio Living Room Model-195,Furniture,Living Room,Godrej Interio,Set,81.7,73.2,44.5,3.4,7241.35,37,Active
PROD0135,Philips Bike Accessories Model-978,Automotive Accessories,Bike Accessories,Philips,Pcs,45.8,37.6,10.7,5.43,5599.84,27,Discontinued
PROD0136,Camlin Paper Products Model-656,Office Supplies,Paper Products,Camlin,Box,10.4,22.0,2.2,0.66,241.96,360,Active
PROD0137,Taparia Power Tools Model-266,Industrial Tools,Power Tools,Taparia,Box,22.0,34.7,14.7,10.79,5310.08,18,Active
PROD0138,Dr. Morepen Supplements Model-863,Health & Wellness,Supplements,Dr. Morepen,Pcs,6.1,11.6,13.4,0.75,2330.12,35,Active
PROD0139,Prestige Storage Containers Model-749,Kitchenware,Storage Containers,Prestige,Set,37.4,21.3,14.6,2.85,1970.82,47,Active
PROD0140,Mitashi Board Games Model-402,Toys & Games,Board Games,Mitashi,Pcs,31.4,11.6,8.1,1.81,2291.87,30,Active
PROD0141,SG Fitness Equipment Model-415,Sports & Fitness,Fitness Equipment,SG,Set,52.8,18.1,8.3,2.97,5523.91,102,Active
PROD0142,MamyPoko Baby Food Model-667,Baby Care,Baby Food,MamyPoko,Pack,33.9,33.5,52.5,0.15,1093.14,45,Active
PROD0143,Safari Travel Suitcases Model-633,Luggage & Bags,Travel Suitcases,Safari,Pcs,45.6,19.2,42.1,1.5,1667.48,220,Active
PROD0144,Asian Paints Paints & Finishes Model-469,Hardware,Paints & Finishes,Asian Paints,Pack,28.6,15.8,12.4,6.21,1858.55,50,Active
PROD0145,Bajaj Audio Model-489,Electronics,Audio,Bajaj,Set,23.2,15.8,16.8,2.31,51010.13,127,Active
PROD0146,Bajaj Washing Machines Model-421,Home Appliances,Washing Machines,Bajaj,Pcs,87.9,78.4,80.8,46.7,33187.96,81,Active
PROD0147,Haldiram Staples Model-473,FMCG - Food,Staples,Haldiram,Pack,23.6,8.0,29.9,0.94,618.74,39,Active
PROD0148,Boroplus Haircare Model-916,FMCG - Personal Care,Haircare,Boroplus,Pack,13.1,4.6,22.7,0.81,823.92,29,Active
PROD0149,Patanjali Surface Cleaners Model-533,FMCG - Home Care,Surface Cleaners,Patanjali,Pcs,6.5,19.9,22.0,2.12,475.69,36,Active
PROD0150,VIP Kids Wear Model-931,Apparel,Kids Wear,VIP,Pack,31.9,28.7,2.7,0.41,3091.71,49,Discontinued
PROD0151,Relaxo Sandals Model-439,Footwear,Sandals,Relaxo,Box,26.1,15.7,11.1,1.45,3524.76,78,Active
PROD0152,Pepperfry Storage Model-890,Furniture,Storage,Pepperfry,Pcs,77.9,41.5,48.4,20.47,33717.88,143,Active
PROD0153,Vega Bike Accessories Model-566,Automotive Accessories,Bike Accessories,Vega,Pcs,30.8,20.4,7.4,4.39,3729.09,12,Active
PROD0154,ITC Classmate Paper Products Model-969,Office Supplies,Paper Products,ITC Classmate,Pcs,24.4,18.5,4.1,2.95,388.55,20,Active
PROD0155,Havells Measuring Instruments Model-337,Industrial Tools,Measuring Instruments,Havells,Set,41.5,14.0,21.4,4.93,11192.13,38,Active
PROD0156,Dabur First Aid Model-821,Health & Wellness,First Aid,Dabur,Box,9.1,16.3,13.1,0.22,395.08,21,Active
PROD0157,Hawkins Dinnerware Model-216,Kitchenware,Dinnerware,Hawkins,Set,33.5,22.2,29.3,1.7,2034.9,17,Active
PROD0158,Mitashi Soft Toys Model-276,Toys & Games,Soft Toys,Mitashi,Set,31.2,15.9,17.3,0.3,642.03,228,Active
PROD0159,Puma Yoga Accessories Model-244,Sports & Fitness,Yoga Accessories,Puma,Pair,55.8,27.9,19.4,6.46,5968.38,21,Active
PROD0160,MamyPoko Strollers Model-243,Baby Care,Strollers,MamyPoko,Pack,22.6,23.5,7.9,1.5,123.0,358,Active
PROD0161,Skybags Duffle Bags Model-801,Luggage & Bags,Duffle Bags,Skybags,Set,37.5,36.0,52.0,0.74,746.89,87,Discontinued
PROD0162,Anchor Plumbing Model-395,Hardware,Plumbing,Anchor,Box,24.5,13.5,16.6,5.0,2067.68,84,Active
PROD0163,Wipro Audio Model-942,Electronics,Audio,Wipro,Pcs,32.8,16.0,5.9,1.55,62875.85,25,Active
PROD0164,Bajaj Refrigerators Model-369,Home Appliances,Refrigerators,Bajaj,Set,81.7,34.3,161.1,12.04,53243.06,47,Active
PROD0165,Haldiram Confectionery Model-269,FMCG - Food,Confectionery,Haldiram,Box,20.7,17.2,24.6,2.87,435.18,20,Active
PROD0166,Hindustan Unilever Oral Care Model-686,FMCG - Personal Care,Oral Care,Hindustan Unilever,Pack,14.5,8.1,23.5,0.82,205.93,36,Active
PROD0167,Patanjali Dishwashing Model-229,FMCG - Home Care,Dishwashing,Patanjali,Litre,10.0,15.7,30.7,3.86,621.56,123,Active
PROD0168,Reliance Ethnic Wear Model-562,Apparel,Ethnic Wear,Reliance,Pcs,32.7,28.2,2.6,0.69,1468.55,97,Active
PROD0169,Puma Sandals Model-695,Footwear,Sandals,Puma,Pair,33.7,20.9,10.5,1.76,3955.11,14,Active
PROD0170,Nilkamal Storage Model-539,Furniture,Storage,Nilkamal,Pcs,94.4,59.4,62.7,25.99,5874.91,31,Active
PROD0171,Bosch Car Care Model-201,Automotive Accessories,Car Care,Bosch,Box,41.4,23.8,8.1,5.17,17904.45,75,Active
PROD0172,Camlin Writing Instruments Model-262,Office Supplies,Writing Instruments,Camlin,Pcs,7.8,12.2,3.1,2.01,983.9,130,Active
PROD0173,Havells Hand Tools Model-771,Industrial Tools,Hand Tools,Havells,Pcs,45.2,8.0,16.9,1.85,3779.77,10,Discontinued
PROD0174,Dabur Personal Hygiene Model-980,Health & Wellness,Personal Hygiene,Dabur,Set,18.9,12.2,7.3,0.27,2437.27,244,Active
PROD0175,Hawkins Dinnerware Model-892,Kitchenware,Dinnerware,Hawkins,Pcs,32.5,26.9,11.4,2.9,3110.05,239,Active
PROD0176,Hasbro Educational Toys Model-730,Toys & Games,Educational Toys,Hasbro,Set,23.3,14.3,22.9,0.44,606.42,239,Active
PROD0177,SS Yoga Accessories Model-353,Sports & Fitness,Yoga Accessories,SS,Set,82.7,17.4,20.0,10.87,3597.82,11,Active
PROD0178,Pampers Baby Bath Model-630,Baby Care,Baby Bath,Pampers,Pcs,30.4,32.4,21.3,0.31,2254.99,276,Active
PROD0179,Skybags Travel Suitcases Model-753,Luggage & Bags,Travel Suitcases,Skybags,Pcs,40.8,39.4,74.4,4.23,1555.86,46,Active
PROD0180,Hindware Plumbing Model-888,Hardware,Plumbing,Hindware,Pcs,5.4,6.0,8.9,0.49,288.85,42,Active
PROD0181,Titan Accessories Model-533,Electronics,Accessories,Titan,Box,22.1,21.0,11.7,0.62,8205.43,23,Active
PROD0182,Crompton Washing Machines Model-434,Home Appliances,Washing Machines,Crompton,Set,65.2,68.2,131.0,43.59,21885.59,80,Active
PROD0183,Haldiram Snacks Model-218,FMCG - Food,Snacks,Haldiram,Litre,17.2,5.8,20.7,3.31,157.0,67,Active
PROD0184,Boroplus Haircare Model-455,FMCG - Personal Care,Haircare,Boroplus,Box,9.7,10.6,13.9,0.4,912.24,17,Active
PROD0185,Reliance Detergents Model-926,FMCG - Home Care,Detergents,Reliance,Pcs,10.4,6.0,27.8,2.97,106.28,33,Active
PROD0186,Allen Solly Innerwear Model-476,Apparel,Innerwear,Allen Solly,Pcs,25.1,16.5,5.4,0.91,1259.3,161,Active
PROD0187,Adidas Sports Shoes Model-147,Footwear,Sports Shoes,Adidas,Box,28.6,21.4,10.9,1.74,598.04,332,Active
PROD0188,Nilkamal Storage Model-429,Furniture,Storage,Nilkamal,Pcs,85.8,83.2,61.7,6.27,13989.07,13,Active
PROD0189,3M Car Care Model-170,Automotive Accessories,Car Care,3M,Set,44.6,33.2,12.8,0.7,3762.62,224,Active
PROD0190,Cello Desk Organizers Model-348,Office Supplies,Desk Organizers,Cello,Set,16.0,24.4,15.0,2.34,1106.72,81,Active
PROD0191,Bosch Measuring Instruments Model-338,Industrial Tools,Measuring Instruments,Bosch,Box,27.3,34.9,26.9,11.43,521.2,29,Active
PROD0192,Zydus Medical Devices Model-603,Health & Wellness,Medical Devices,Zydus,Pack,24.5,7.1,7.8,0.18,771.27,36,Active
PROD0193,Hawkins Storage Containers Model-865,Kitchenware,Storage Containers,Hawkins,Pcs,30.3,22.6,22.7,2.09,3020.69,18,Active
PROD0194,Mattel Action Figures Model-920,Toys & Games,Action Figures,Mattel,Box,31.0,24.7,11.4,0.75,446.47,47,Active
PROD0195,SS Fitness Equipment Model-560,Sports & Fitness,Fitness Equipment,SS,Set,48.0,13.6,14.0,11.6,5560.03,65,Active
PROD0196,Nestlé Baby Bath Model-141,Baby Care,Baby Bath,Nestlé,Pack,43.4,19.8,10.0,1.07,953.78,136,Active
PROD0197,VIP Travel Suitcases Model-514,Luggage & Bags,Travel Suitcases,VIP,Set,41.7,28.8,34.3,0.82,6850.48,165,Active
