Inventory_ID,Warehouse_ID,Product_ID,Current_Stock,Reserved_Stock,Safety_Stock,Last_Restock_Date
INV0172,WH043,PROD0459,1776,325,486,2026-07-25
INV0173,WH044,PROD0234,155,44,7,2026-06-29
INV0174,WH035,PROD0091,1703,234,291,2026-07-27
INV0175,WH026,PROD0236,161,15,30,2026-06-07
INV0176,WH040,PROD0151,290,78,111,2026-07-07
INV0177,WH035,PROD0379,689,224,138,2026-07-05
INV0178,WH015,PROD0444,299,50,99,2026-07-16
INV0179,WH006,PROD0351,1642,519,195,2026-07-23
INV0180,WH031,PROD0092,451,175,79,2026-07-12
INV0181,WH038,PROD0114,327,85,73,2026-06-19
INV0182,WH007,PROD0115,139,41,11,2026-04-22
INV0183,WH042,PROD0251,631,241,63,2026-06-28
INV0184,WH002,PROD0313,428,137,126,2026-06-21
INV0185,WH017,PROD0115,11,2,17,2026-05-24
INV0186,WH044,PROD0458,141,52,9,2026-06-18
INV0187,WH011,PROD0025,1115,330,367,2026-07-18
INV0188,WH018,PROD0407,138,17,41,2026-06-29
INV0189,WH021,PROD0151,564,191,43,2026-07-02
INV0190,WH014,PROD0374,54,19,28,2026-04-14
INV0191,WH031,PROD0373,144,47,11,2026-06-02
INV0192,WH021,PROD0024,14,4,22,2026-06-13
INV0193,WH007,PROD0146,189,21,34,2026-06-30
INV0194,WH034,PROD0486,799,186,456,2026-07-22
INV0195,WH039,PROD0376,43,6,35,2026-07-02
INV0196,WH033,PROD0270,1726,624,305,2026-07-29
INV0197,WH036,PROD0415,119,45,31,2026-06-25
INV0198,WH038,PROD0260,116,23,33,2026-04-25
INV0199,WH011,PROD0071,2318,529,461,2026-07-26
INV0200,WH043,PROD0144,654,200,110,2026-07-01
INV0201,WH024,PROD0408,424,47,130,2026-07-04
INV0202,WH040,PROD0467,221,87,40,2026-06-25
INV0203,WH001,PROD0452,20,6,7,2026-06-13
INV0204,WH015,PROD0301,762,57,142,2026-07-08
INV0205,WH042,PROD0450,39,2,25,2026-05-23
INV0206,WH022,PROD0247,438,119,367,2026-07-28
INV0207,WH048,PROD0094,798,124,42,2026-07-04
INV0208,WH034,PROD0316,108,28,29,2026-04-18
INV0209,WH010,PROD0256,327,119,84,2026-06-24
INV0210,WH047,PROD0487,84,26,31,2026-06-13
INV0211,WH033,PROD0379,271,40,147,2026-06-29
INV0212,WH005,PROD0270,1194,286,188,2026-07-20
INV0213,WH048,PROD0069,58,6,9,2026-06-16
INV0214,WH042,PROD0004,741,52,69,2026-07-17
INV0215,WH006,PROD0267,72,15,31,2026-05-30
INV0216,WH036,PROD0238,98,10,6,2026-04-25
INV0217,WH034,PROD0362,32,10,34,2026-06-10
INV0218,WH031,PROD0238,92,22,21,2026-05-17
INV0219,WH009,PROD0195,258,42,140,2026-07-20
INV0220,WH033,PROD0419,785,144,124,2026-06-23
INV0221,WH016,PROD0374,36,8,30,2026-06-26
INV0222,WH029,PROD0492,40,2,35,2026-06-10
INV0223,WH013,PROD0227,1189,301,389,2026-07-21
INV0224,WH002,PROD0167,286,72,52,2026-07-13
INV0225,WH040,PROD0110,199,76,31,2026-06-11
INV0226,WH021,PROD0337,699,92,39,2026-07-03
INV0227,WH016,PROD0460,52,9,25,2026-04-10
INV0228,WH037,PROD0439,148,36,18,2026-05-23
INV0229,WH027,PROD0063,2303,488,471,2026-07-21
INV0230,WH032,PROD0113,961,131,301,2026-07-27
INV0231,WH022,PROD0134,74,22,36,2026-04-15
INV0232,WH029,PROD0310,159,18,33,2026-07-02
INV0233,WH005,PROD0083,24,6,26,2026-06-01
INV0234,WH049,PROD0270,2338,292,468,2026-07-30
INV0235,WH021,PROD0071,2425,247,224,2026-07-29
INV0236,WH049,PROD0498,703,124,168,2026-07-19
INV0237,WH047,PROD0442,155,17,100,2026-07-10
INV0238,WH017,PROD0390,151,50,36,2026-04-16
INV0239,WH030,PROD0266,138,28,37,2026-04-21
INV0240,WH045,PROD0379,481,84,115,2026-06-20
INV0241,WH035,PROD0202,25,1,7,2026-06-07
INV0242,WH016,PROD0473,109,38,10,2026-04-20
INV0243,WH008,PROD0236,27,10,27,2026-06-12
INV0244,WH037,PROD0461,33,9,6,2026-06-13
INV0245,WH047,PROD0483,1726,142,439,2026-07-31
INV0246,WH018,PROD0335,2394,632,198,2026-07-31
INV0247,WH001,PROD0296,2002,247,340,2026-07-30
INV0248,WH006,PROD0312,771,51,174,2026-07-25
INV0249,WH010,PROD0060,63,22,15,2026-06-17
INV0250,WH030,PROD0210,577,39,126,2026-07-14
INV0251,WH048,PROD0345,32,5,12,2026-06-18
INV0252,WH012,PROD0022,40,3,7,2026-05-06
INV0253,WH048,PROD0474,641,241,127,2026-06-24
INV0254,WH040,PROD0383,319,79,34,2026-07-04
INV0255,WH022,PROD0107,649,135,31,2026-07-11
INV0256,WH020,PROD0398,2433,772,153,2026-07-29
INV0257,WH007,PROD0047,391,113,32,2026-06-17
INV0258,WH009,PROD0473,96,27,5,2026-04-20
INV0259,WH010,PROD0306,83,4,29,2026-06-16
INV0260,WH013,PROD0359,475,163,74,2026-06-28
INV0261,WH048,PROD0377,770,231,30,2026-07-09
INV0262,WH023,PROD0066,2333,195,108,2026-07-19
INV0263,WH008,PROD0073,80,30,17,2026-05-09
INV0264,WH035,PROD0188,109,13,24,2026-06-16
INV0265,WH005,PROD0455,200,19,14,2026-06-29
INV0266,WH004,PROD0217,226,49,76,2026-07-12
INV0267,WH018,PROD0031,270,55,106,2026-07-19
INV0268,WH006,PROD0221,536,104,140,2026-07-21
INV0269,WH019,PROD0272,176,28,11,2026-05-20
INV0270,WH011,PROD0424,331,98,213,2026-07-20
INV0271,WH016,PROD0031,227,83,32,2026-06-29
INV0272,WH032,PROD0289,173,34,33,2026-05-16
INV0273,WH040,PROD0034,1819,522,326,2026-07-22
INV0274,WH024,PROD0146,535,203,137,2026-07-11
INV0275,WH007,PROD0071,1328,67,336,2026-07-25
INV0276,WH004,PROD0394,40,2,37,2026-06-17
INV0277,WH048,PROD0406,115,9,40,2026-06-03
INV0278,WH049,PROD0483,668,132,350,2026-07-29
INV0279,WH001,PROD0265,699,124,472,2026-07-21
INV0280,WH038,PROD0016,743,52,275,2026-07-20
INV0281,WH033,PROD0022,114,15,33,2026-06-19
INV0282,WH015,PROD0171,181,31,36,2026-07-04
INV0283,WH018,PROD0252,86,9,17,2026-05-12
INV0284,WH002,PROD0009,2082,491,193,2026-07-26
INV0285,WH023,PROD0229,536,138,120,2026-06-25
INV0286,WH014,PROD0062,153,18,5,2026-05-21
INV0287,WH050,PROD0103,721,243,81,2026-07-12
INV0288,WH029,PROD0473,75,15,32,2026-05-13
INV0289,WH023,PROD0300,562,191,368,2026-07-28
INV0290,WH031,PROD0010,18,3,8,2026-05-29
INV0291,WH020,PROD0495,438,137,110,2026-07-21
INV0292,WH004,PROD0229,702,65,92,2026-06-23
INV0293,WH002,PROD0384,1375,330,399,2026-07-28
INV0294,WH005,PROD0421,676,169,126,2026-07-05
INV0295,WH043,PROD0363,26,1,25,2026-06-10
INV0296,WH033,PROD0020,160,54,24,2026-04-11
INV0297,WH026,PROD0402,165,45,38,2026-04-30
INV0298,WH013,PROD0238,161,14,33,2026-04-06
INV0299,WH039,PROD0285,84,30,11,2026-05-11
INV0300,WH010,PROD0111,2286,502,246,2026-07-31
INV0301,WH016,PROD0120,278,56,127,2026-07-02
INV0302,WH045,PROD0496,627,159,115,2026-07-04
INV0303,WH040,PROD0229,115,12,38,2026-07-06
INV0304,WH043,PROD0072,16,1,18,2026-05-04
INV0305,WH035,PROD0433,53,10,11,2026-06-21
INV0306,WH043,PROD0341,775,64,33,2026-07-06
INV0307,WH035,PROD0484,185,53,60,2026-06-29
INV0308,WH037,PROD0263,2366,489,499,2026-07-22
INV0309,WH008,PROD0043,555,125,32,2026-06-18
INV0310,WH019,PROD0476,2381,802,115,2026-07-18
INV0311,WH035,PROD0476,1934,458,233,2026-07-27
INV0312,WH008,PROD0232,101,31,38,2026-04-28
INV0313,WH029,PROD0498,2376,894,291,2026-07-24
INV0314,WH004,PROD0416,405,26,232,2026-07-23
INV0315,WH031,PROD0342,195,67,136,2026-07-11
INV0316,WH006,PROD0154,162,51,30,2026-06-21
INV0317,WH011,PROD0262,137,35,22,2026-06-11
INV0318,WH033,PROD0078,128,48,30,2026-04-19
INV0319,WH031,PROD0341,750,48,36,2026-07-05
INV0320,WH046,PROD0061,364,118,145,2026-07-17
INV0321,WH023,PROD0219,21,5,36,2026-04-23
INV0322,WH019,PROD0346,186,23,40,2026-04-22
INV0323,WH023,PROD0055,2185,766,397,2026-07-19
INV0324,WH042,PROD0204,56,3,23,2026-04-12
INV0325,WH027,PROD0360,173,31,23,2026-04-15
INV0326,WH047,PROD0136,2058,429,113,2026-07-27
INV0327,WH005,PROD0228,12,2,14,2026-04-22
INV0328,WH011,PROD0478,101,19,20,2026-04-13
INV0329,WH009,PROD0001,614,87,103,2026-07-08
INV0330,WH045,PROD0257,68,6,7,2026-05-08
INV0331,WH031,PROD0078,144,36,33,2026-04-16
INV0332,WH040,PROD0427,26,1,10,2026-05-25
INV0333,WH008,PROD0301,354,141,75,2026-07-12
INV0334,WH046,PROD0209,210,45,59,2026-07-09
INV0335,WH001,PROD0175,1064,395,227,2026-07-31
INV0336,WH033,PROD0049,510,187,72,2026-07-21
INV0337,WH018,PROD0385,409,57,93,2026-07-13
INV0338,WH028,PROD0163,176,51,7,2026-06-08
INV0339,WH037,PROD0214,112,35,9,2026-05-03
INV0340,WH048,PROD0034,2412,338,164,2026-07-20
INV0341,WH049,PROD0280,171,40,7,2026-04-24
INV0342,WH001,PROD0444,510,51,89,2026-06-17
INV0343,WH029,PROD0139,115,37,38,2026-06-19
INV0344,WH040,PROD0095,503,191,110,2026-06-28
INV0345,WH040,PROD0340,147,57,20,2026-04-04
INV0346,WH040,PROD0282,550,100,69,2026-06-20
INV0347,WH006,PROD0168,448,175,105,2026-07-06
INV0348,WH004,PROD0057,41,11,13,2026-04-17
INV0349,WH044,PROD0400,132,38,28,2026-06-01
INV0350,WH045,PROD0023,99,21,12,2026-06-23
INV0351,WH047,PROD0032,332,104,136,2026-06-18
INV0352,WH026,PROD0107,531,102,70,2026-07-07
INV0353,WH009,PROD0052,2408,396,396,2026-07-27
INV0354,WH025,PROD0249,107,27,36,2026-07-21
INV0355,WH020,PROD0414,44,17,24,2026-04-26
INV0356,WH004,PROD0151,485,157,78,2026-07-05
INV0357,WH036,PROD0315,121,23,32,2026-04-30
INV0358,WH028,PROD0135,51,8,5,2026-05-24
INV0359,WH032,PROD0388,123,44,26,2026-04-25
INV0360,WH020,PROD0394,91,29,19,2026-06-08
INV0361,WH002,PROD0218,43,6,20,2026-05-16
INV0362,WH025,PROD0402,43,7,16,2026-05-10
INV0363,WH007,PROD0204,171,44,26,2026-04-16
INV0364,WH004,PROD0005,2042,235,182,2026-07-18
INV0365,WH019,PROD0093,125,36,32,2026-05-02
INV0366,WH026,PROD0069,90,5,9,2026-05-14
INV0367,WH018,PROD0364,202,74,41,2026-06-29
INV0368,WH017,PROD0274,142,7,29,2026-06-25
INV0369,WH035,PROD0008,210,82,90,2026-06-19
INV0370,WH032,PROD0287,42,4,17,2026-06-22
INV0371,WH023,PROD0228,13,1,22,2026-05-06
INV0372,WH017,PROD0437,52,5,32,2026-06-23
INV0373,WH011,PROD0028,308,40,97,2026-07-06
INV0374,WH031,PROD0176,1233,362,320,2026-07-26
INV0375,WH049,PROD0273,149,25,89,2026-06-17
INV0376,WH011,PROD0189,1384,219,363,2026-07-29
INV0377,WH036,PROD0356,69,24,37,2026-05-22
INV0378,WH049,PROD0487,78,22,8,2026-06-28
INV0379,WH020,PROD0335,1804,385,246,2026-07-21
INV0380,WH013,PROD0433,29,11,12,2026-06-15
INV0381,WH046,PROD0230,83,26,39,2026-04-15
INV0382,WH032,PROD0350,647,236,330,2026-07-24
INV0383,WH014,PROD0125,180,49,23,2026-04-11
INV0384,WH032,PROD0087,17,4,17,2026-04-22
INV0385,WH005,PROD0460,131,36,27,2026-07-01
INV0386,WH005,PROD0311,109,15,20,2026-06-27
INV0387,WH013,PROD0017,108,32,19,2026-05-22
INV0388,WH010,PROD0137,169,58,19,2026-05-21
INV0389,WH001,PROD0019,749,172,124,2026-07-16
INV0390,WH026,PROD0226,131,30,37,2026-05-27
INV0391,WH028,PROD0177,54,7,22,2026-05-31
INV0392,WH024,PROD0134,77,26,32,2026-06-26
INV0393,WH035,PROD0451,470,101,118,2026-07-18
INV0394,WH029,PROD0361,665,182,43,2026-07-22
INV0395,WH047,PROD0343,1612,416,223,2026-07-21
INV0396,WH030,PROD0492,138,19,37,2026-04-09
INV0397,WH025,PROD0412,169,39,32,2026-04-18
INV0398,WH049,PROD0354,549,119,256,2026-07-26
INV0399,WH031,PROD0054,80,7,33,2026-04-06
INV0400,WH003,PROD0415,32,9,39,2026-05-15
INV0401,WH009,PROD0464,62,8,40,2026-04-10
INV0402,WH034,PROD0121,1275,109,390,2026-07-19
INV0403,WH042,PROD0338,150,28,36,2026-06-29
INV0404,WH037,PROD0108,54,20,38,2026-04-28
INV0405,WH036,PROD0474,317,29,51,2026-07-13
INV0406,WH001,PROD0095,335,18,52,2026-07-22
INV0407,WH025,PROD0237,2077,136,294,2026-07-30
INV0408,WH041,PROD0306,181,39,40,2026-04-07
INV0409,WH001,PROD0281,185,21,134,2026-07-04
INV0410,WH006,PROD0148,25,3,20,2026-04-23
INV0411,WH016,PROD0329,31,10,37,2026-06-26
INV0412,WH049,PROD0393,663,78,112,2026-07-14
INV0413,WH038,PROD0162,792,49,131,2026-07-16
INV0414,WH050,PROD0009,13032,804,484,2026-07-25
INV0415,WH022,PROD0488,200,68,29,2026-05-07
INV0416,WH045,PROD0024,121,22,32,2026-04-08
INV0417,WH005,PROD0007,175,27,30,2026-05-16
INV0418,WH006,PROD0361,330,109,66,2026-07-22
INV0419,WH007,PROD0205,728,233,134,2026-07-05
INV0420,WH034,PROD0315,13,4,28,2026-04-22
INV0421,WH036,PROD0104,85,15,40,2026-06-14
INV0422,WH037,PROD0319,1959,514,181,2026-07-25
INV0423,WH034,PROD0120,652,159,85,2026-06-17
INV0424,WH037,PROD0061,583,188,97,2026-06-21
INV0425,WH002,PROD0190,705,124,84,2026-07-11
INV0426,WH037,PROD0233,486,45,32,2026-07-07
INV0427,WH009,PROD0221,467,117,88,2026-06-19
INV0428,WH012,PROD0195,115,28,68,2026-07-17
INV0429,WH037,PROD0189,870,183,137,2026-07-19
INV0430,WH021,PROD0498,782,164,335,2026-07-24
INV0431,WH043,PROD0383,241,44,92,2026-07-04
INV0432,WH005,PROD0050,654,65,116,2026-06-17
INV0433,WH046,PROD0304,113,16,13,2026-05-08
INV0434,WH039,PROD0483,2255,576,271,2026-07-23
INV0435,WH046,PROD0452,77,28,28,2026-05-29
INV0436,WH036,PROD0178,1502,513,290,2026-07-24
INV0437,WH028,PROD0400,139,48,13,2026-07-02
INV0438,WH024,PROD0255,10,0,6,2026-06-26
INV0439,WH046,PROD0461,97,37,31,2026-05-28
INV0440,WH014,PROD0424,857,302,242,2026-07-18
INV0441,WH033,PROD0084,673,242,108,2026-07-02
INV0442,WH018,PROD0003,539,125,145,2026-07-24
INV0443,WH034,PROD0094,264,79,118,2026-07-06
INV0444,WH009,PROD0215,28,10,29,2026-04-24
INV0445,WH024,PROD0004,593,192,38,2026-07-19
INV0446,WH042,PROD0358,25,6,10,2026-06-18
INV0447,WH040,PROD0092,574,225,143,2026-07-16
INV0448,WH021,PROD0096,2050,733,141,2026-07-20
INV0449,WH015,PROD0485,122,11,8,2026-04-21
INV0450,WH030,PROD0037,120,6,25,2026-04-06
INV0451,WH017,PROD0464,189,47,10,2026-04-29
INV0452,WH046,PROD0168,400,131,59,2026-07-13
INV0453,WH027,PROD0304,152,25,18,2026-05-11
INV0454,WH018,PROD0490,130,44,12,2026-05-11
INV0455,WH040,PROD0407,627,245,148,2026-07-13
INV0456,WH020,PROD0416,638,203,209,2026-07-17
INV0457,WH003,PROD0133,1661,287,123,2026-07-29
INV0458,WH040,PROD0207,327,24,117,2026-07-11
INV0459,WH014,PROD0498,1774,414,324,2026-07-27
INV0460,WH016,PROD0173,48,3,31,2026-04-26
INV0461,WH035,PROD0223,459,94,481,2026-07-25
INV0462,WH015,PROD0368,357,134,144,2026-07-03
INV0463,WH036,PROD0156,55,10,25,2026-06-03
INV0464,WH041,PROD0497,86,20,30,2026-06-15
INV0465,WH029,PROD0475,80,14,8,2026-05-13
INV0466,WH023,PROD0041,103,12,30,2026-06-12
INV0467,WH001,PROD0305,439,73,376,2026-07-17
INV0468,WH007,PROD0022,136,38,24,2026-06-29
INV0469,WH015,PROD0052,641,206,151,2026-07-24
INV0470,WH007,PROD0308,185,30,6,2026-06-14
INV0471,WH029,PROD0350,1893,560,127,2026-07-21
INV0472,WH002,PROD0208,1819,611,219,2026-07-26
INV0473,WH045,PROD0482,640,255,449,2026-07-29
INV0474,WH043,PROD0070,56,18,33,2026-05-23
INV0475,WH023,PROD0447,543,190,105,2026-07-29
INV0476,WH045,PROD0471,22,1,10,2026-05-23
INV0477,WH047,PROD0477,56,16,27,2026-04-10
INV0478,WH029,PROD0325,168,34,26,2026-06-28
INV0479,WH032,PROD0052,2114,730,460,2026-07-28
INV0480,WH036,PROD0026,100,5,28,2026-04-11
INV0481,WH049,PROD0425,26,10,8,2026-07-01
INV0482,WH044,PROD0319,1185,358,255,2026-07-19
INV0483,WH038,PROD0061,103,9,65,2026-06-30
INV0484,WH014,PROD0220,486,143,359,2026-07-22
INV0485,WH005,PROD0037,148,39,24,2026-04-13
INV0486,WH015,PROD0335,1679,608,415,2026-07-22
INV0487,WH023,PROD0178,1297,322,291,2026-07-21
INV0488,WH024,PROD0199,172,33,34,2026-07-19
INV0489,WH037,PROD0007,174,43,6,2026-05-13
INV0490,WH036,PROD0031,175,52,99,2026-06-28
INV0491,WH003,PROD0399,188,42,20,2026-05-02
INV0492,WH009,PROD0367,1192,297,439,2026-07-28
INV0493,WH038,PROD0358,105,5,19,2026-06-30
