Purchase_Order_ID,Order_Date,Supplier_ID,Product_ID,Warehouse_ID,Order_Quantity,Unit_Cost,Expected_Delivery_Date,Actual_Delivery_Date,Defective_Quantity,Transportation_Mode,Freight_Cost,Payment_Terms,Payment_Method
PO000052,2025-11-02,SUP0072,PROD0388,WH028,37,49.7,2025-11-09,2025-11-09,1,Rail,942.67,Net 60,NEFT
PO000053,2025-03-02,SUP0117,PROD0476,WH039,1363,13663.72,2025-03-07,2025-03-11,63,Road,48872.63,Net 90,RTGS
PO000054,2025-08-22,SUP0111,PROD0451,WH034,194,38252.82,2025-08-29,2025-09-01,0,Rail,729.77,Advance Payment,RTGS
PO000055,2026-05-22,SUP0002,PROD0300,WH012,988,345.14,2026-05-27,2026-05-24,0,Road,3139.17,Net 90,RTGS
PO000056,2024-11-01,SUP0075,PROD0465,WH023,57,2323.38,2024-11-08,2024-11-18,1,Rail,899.95,Net 45,Bank Transfer
PO000057,2025-04-15,SUP0120,PROD0039,WH005,359,306.66,2025-04-22,2025-04-22,3,Rail,1792.81,Net 45,NEFT
PO000058,2024-07-03,SUP0085,PROD0090,WH040,1882,1828.46,2024-07-10,2024-07-10,7,Rail,9227.38,Net 45,Cheque
PO000059,2024-02-07,SUP0101,PROD0019,WH037,141,26126.39,2024-02-12,2024-02-14,2,Road,1080.83,Net 90,Bank Transfer
PO000060,2024-01-23,SUP0055,PROD0158,WH016,214,327.44,2024-01-28,2024-01-28,1,Road,856.77,Net 60,NEFT
PO000061,2025-08-23,SUP0006,PROD0188,WH009,49,10128.86,2025-08-30,2025-09-08,0,Rail,1048.47,Net 90,NEFT
PO000062,2024-02-05,SUP0083,PROD0128,WH033,135,30000.69,2024-02-12,2024-02-12,2,Rail,3926.95,Advance Payment,Bank Transfer
PO000063,2025-03-09,SUP0094,PROD0420,WH037,496,1346.64,2025-03-14,2025-03-18,13,Road,1292.84,Net 90,Cheque
PO000064,2025-09-01,SUP0110,PROD0175,WH033,643,2293.99,2025-09-06,2025-09-10,25,Road,3446.48,Net 90,Cheque
PO000065,2026-06-27,SUP0103,PROD0132,WH049,1520,712.04,2026-07-02,2026-07-02,4,Road,3701.92,Net 30,RTGS
PO000066,2026-05-14,SUP0108,PROD0271,WH001,235,41394.07,2026-05-21,2026-05-21,7,Rail,1034.65,Net 30,Bank Transfer
PO000067,2025-09-08,SUP0062,PROD0065,WH047,1090,3143.1,2025-09-22,2025-09-22,33,Sea,1465.21,Net 30,Cheque
PO000068,2024-12-31,SUP0049,PROD0406,WH037,32,367.26,2025-01-07,2025-01-07,0,Rail,968.27,Net 45,Bank Transfer
PO000069,2026-06-18,SUP0100,PROD0034,WH009,1077,596.83,2026-06-20,2026-06-20,14,Air,22518.37,Advance Payment,RTGS
PO000070,2025-09-20,SUP0084,PROD0496,WH018,218,350.72,2025-09-25,2025-09-28,5,Road,699.39,Net 45,RTGS
PO000071,2026-03-14,SUP0054,PROD0385,WH038,450,1270.44,2026-03-16,2026-03-16,11,Air,1480.56,Net 30,Cheque
PO000072,2025-03-22,SUP0118,PROD0091,WH021,909,52551.19,2025-03-29,2025-03-29,19,Rail,1473.31,Advance Payment,RTGS
PO000073,2025-12-24,SUP0010,PROD0003,WH044,1135,19.24,2025-12-29,2025-12-29,10,Road,5435.48,Net 60,RTGS
PO000074,2025-04-21,SUP0024,PROD0412,WH014,47,973.27,2025-04-26,2025-04-23,2,Road,729.85,Net 90,RTGS
PO000075,2026-06-12,SUP0097,PROD0350,WH039,1069,24304.4,2026-06-17,2026-06-24,23,Road,21315.55,Net 30,RTGS
PO000076,2024-11-05,SUP0029,PROD0361,WH039,410,19179.12,2024-11-10,,3,Road,2015.84,Net 45,Bank Transfer
PO000077,2024-03-19,SUP0119,PROD0385,WH006,342,1158.48,2024-03-21,2024-03-21,6,Air,,Net 45,Cheque
PO000078,2025-04-05,SUP0094,PROD0034,WH003,1611,560.86,2025-04-10,2025-04-08,24,Road,7290.82,Net 90,NEFT
PO000079,2024-02-29,SUP0100,PROD0175,WH048,882,2117.1,2024-03-05,2024-03-05,16,Road,4104.37,Net 60,NEFT
PO000080,2025-10-15,SUP0109,PROD0052,WH048,746,1251.05,2025-10-29,2025-10-29,1,Sea,1449.77,Net 30,NEFT
PO000081,2025-01-17,SUP0006,PROD0436,WH018,598,821.52,2025-01-22,2025-01-22,23,Road,586.48,Net 90,NEFT
PO000082,2025-07-25,SUP0058,PROD0312,WH037,1226,2000.66,2025-07-30,2025-07-30,14,Road,1867.9,Net 45,Cheque
PO000083,2024-11-11,SUP0111,PROD0160,WH020,1995,63.54,2024-11-16,2024-11-16,48,Road,4783.07,Net 60,RTGS
PO000084,2025-06-17,SUP0078,PROD0030,WH029,497,1184.23,2025-06-24,2025-06-23,1,Rail,1063.31,Net 30,NEFT
PO000085,2025-03-24,SUP0057,PROD0148,WH036,83,533.59,2025-03-29,2025-04-04,1,Road,,Advance Payment,RTGS
PO000086,2025-07-30,SUP0003,PROD0158,WH016,961,442.95,2025-08-04,2025-08-04,23,Road,1066.4,Advance Payment,Bank Transfer
PO000087,2026-07-15,SUP0024,PROD0362,WH004,143,25682.97,2026-07-20,2026-07-30,6,Road,16247.25,Net 90,RTGS
PO000088,2026-06-05,SUP0019,PROD0319,WH045,534,1922.34,2026-06-10,2026-06-09,2,Road,2618.25,Net 90,Cheque
PO000089,2025-01-01,SUP0102,PROD0447,WH014,1934,2213.45,2025-01-06,2025-01-16,0,Road,25468.43,Net 60,RTGS
PO000090,2025-12-05,SUP0098,PROD0234,WH017,59,57.21,2025-12-10,2025-12-10,1,Road,1329.59,Advance Payment,RTGS
PO000091,2024-04-11,SUP0009,PROD0055,WH035,657,22975.29,2024-04-16,2024-04-14,28,Road,2998.43,Net 90,NEFT
PO000092,2025-12-28,SUP0030,PROD0351,WH035,1664,2160.08,2026-01-02,2026-01-02,6,Road,16666.52,Net 45,RTGS
PO000093,2024-08-18,SUP0096,PROD0380,WH049,318,7039.55,2024-08-23,2024-08-20,4,Road,15074.08,Net 90,Bank Transfer
PO000094,2025-02-09,SUP0077,PROD0282,WH045,377,1038.09,2025-02-14,2025-02-17,2,Road,1405.55,Net 45,Bank Transfer
PO000095,2024-05-04,SUP0082,PROD0385,WH032,121,1545.49,2024-05-11,2024-05-11,7,Rail,883.59,Net 60,Cheque
PO000096,2025-04-15,SUP0044,PROD0244,WH010,343,874.12,2025-04-20,2025-04-20,7,Road,649.96,Net 30,Cheque
PO000097,2025-05-25,SUP0053,PROD0262,WH029,63,602.29,2025-06-01,2025-06-01,0,Rail,446.92,Net 45,RTGS
PO000098,2024-12-07,SUP0086,PROD0208,WH012,1393,399.62,2024-12-09,2024-12-09,65,Air,21219.24,Net 60,Bank Transfer
PO000099,2025-04-01,SUP0068,PROD0009,WH009,408,1047.07,2025-04-08,2025-04-08,8,Rail,1571.25,Net 90,NEFT
PO000100,2024-01-04,SUP0060,PROD0051,WH026,1253,5295.84,2024-01-11,2024-01-11,1,Rail,8103.38,Advance Payment,NEFT
PO000101,2025-01-04,SUP0023,PROD0013,WH021,1274,2428.95,2025-01-11,2025-01-11,43,Rail,1387.96,Net 30,NEFT
PO000102,2024-08-04,SUP0061,PROD0319,WH001,773,1559.64,2024-08-09,2024-08-09,32,Road,3483.83,Net 45,Bank Transfer
PO000103,2024-07-25,SUP0007,PROD0151,WH036,413,1968.2,2024-07-30,2024-07-30,8,Road,1271.59,Advance Payment,RTGS
PO000104,2025-04-16,SUP0044,PROD0251,WH019,397,5073.5,2025-04-21,2025-04-21,10,Road,2389.31,Net 90,RTGS
PO000105,2025-09-07,SUP0055,PROD0458,WH006,21,10980.28,2025-09-12,2025-09-12,0,Road,1352.25,Net 30,RTGS
PO000106,2024-09-19,SUP0075,PROD0116,WH047,83,10790.23,2024-09-24,2024-09-26,3,Road,4294.51,Advance Payment,Cheque
PO000107,2025-03-31,SUP0039,PROD0198,WH018,357,866.69,2025-04-05,2025-04-05,0,Road,3717.36,Net 45,NEFT
PO000108,2025-10-28,SUP0059,PROD0378,WH037,602,2106.54,2025-11-04,2025-11-11,8,Rail,3604.17,Net 45,Cheque
PO000109,2025-12-31,SUP0106,PROD0106,WH008,71,818.74,2026-01-07,2026-01-11,1,Rail,1051.01,Net 90,Cheque
PO000110,2026-07-29,SUP0105,PROD0036,WH011,1387,1497.03,2026-08-03,2026-08-01,37,Road,,Net 90,NEFT
PO000111,2024-12-20,SUP0098,PROD0136,WH005,1031,121.04,2024-12-25,,0,Road,1498.38,Net 45,Bank Transfer
PO000112,2025-12-01,SUP0005,PROD0074,WH021,95,31608.88,2025-12-08,2025-12-06,2,Rail,,Net 60,RTGS
PO000113,2024-12-23,SUP0042,PROD0470,WH040,146,13154.82,2024-12-28,2024-12-28,5,Road,6631.06,Net 30,Bank Transfer
PO000114,2024-08-09,SUP0089,PROD0409,WH043,179,965.54,2024-08-14,2024-08-13,4,Road,928.48,Advance Payment,NEFT
PO000115,2025-11-09,SUP0092,PROD0318,WH021,245,1454.64,2025-11-16,2025-11-19,4,Rail,761.47,Net 30,Cheque
PO000116,2024-12-14,SUP0014,PROD0440,WH020,422,8017.28,2024-12-19,2024-12-17,9,Road,,Net 30,RTGS
PO000117,2026-02-04,SUP0027,PROD0407,WH042,218,7422.05,2026-02-11,2026-02-11,1,Rail,1380.39,Advance Payment,Bank Transfer
PO000118,2024-09-17,SUP0016,PROD0088,WH009,255,272.54,2024-09-22,2024-09-22,8,Road,1215.03,Net 45,Bank Transfer
PO000119,2024-12-03,SUP0091,PROD0450,WH002,135,1995.0,2024-12-08,2024-12-07,4,Road,1008.77,Net 60,NEFT
PO000120,2025-04-07,SUP0002,PROD0270,WH049,1405,1923.32,2025-04-12,2025-04-12,18,Road,15539.5,Net 90,Cheque
PO000121,2025-08-24,SUP0019,PROD0409,WH004,284,1076.11,2025-08-29,,5,Road,713.91,Net 90,Bank Transfer
PO000122,2026-04-02,SUP0023,PROD0452,WH026,110,36674.61,2026-04-09,2026-04-09,0,Rail,2945.59,Net 60,NEFT
PO000123,2026-02-01,SUP0041,PROD0153,WH012,117,2652.84,2026-02-06,2026-02-06,0,Road,1022.99,Net 90,Cheque
PO000124,2026-02-08,SUP0014,PROD0051,WH019,1649,6045.86,2026-02-22,2026-02-22,39,Sea,7853.51,Net 45,Cheque
PO000125,2026-05-12,SUP0047,PROD0105,WH019,540,403.61,2026-05-17,2026-05-17,34,Road,4543.85,Net 30,RTGS
PO000126,2026-07-09,SUP0115,PROD0208,WH019,561,382.29,2026-07-14,,0,Road,2492.3,Net 45,Bank Transfer
PO000127,2024-09-09,SUP0063,PROD0413,WH029,499,2672.1,2024-09-16,2024-09-15,3,Rail,1342.29,Net 45,RTGS
PO000128,2024-03-29,SUP0090,PROD0434,WH039,994,10272.4,2024-04-05,2024-04-05,20,Rail,40539.47,Net 45,Bank Transfer
PO000129,2024-06-08,SUP0008,PROD0003,WH045,772,19.98,2024-06-13,2024-06-13,17,Road,3681.72,Net 30,RTGS
PO000130,2025-03-17,SUP0027,PROD0253,WH034,69,3385.63,2025-03-22,2025-03-22,3,Road,1101.42,Net 90,Bank Transfer
PO000131,2024-10-04,SUP0111,PROD0202,WH008,97,325.62,2024-10-06,2024-10-06,0,Air,,Net 30,RTGS
PO000132,2025-11-22,SUP0040,PROD0103,WH006,464,619.98,2025-11-29,2025-12-04,0,Rail,1689.65,Net 90,Cheque
PO000133,2024-07-20,SUP0028,PROD0055,WH032,1434,21986.89,2024-07-27,2024-07-24,20,Rail,3640.48,Net 90,Bank Transfer
PO000134,2025-03-20,SUP0068,PROD0164,WH028,78,38323.58,2025-03-25,2025-03-25,1,Road,2100.52,Net 30,NEFT
PO000135,2025-04-28,SUP0061,PROD0479,WH011,284,1064.41,2025-05-03,2025-05-03,9,Road,1807.85,Net 45,Bank Transfer
PO000136,2024-07-22,SUP0038,PROD0158,WH028,1830,443.22,2024-07-29,2024-07-29,51,Rail,1033.74,Advance Payment,NEFT
PO000137,2025-06-16,SUP0075,PROD0259,WH032,266,1119.95,2025-06-18,2025-06-18,5,Air,3367.83,Net 45,Cheque
PO000138,2025-12-02,SUP0108,PROD0349,WH041,818,2229.98,2025-12-04,2025-12-04,6,Air,4925.91,Net 30,Bank Transfer
PO000139,2024-01-15,SUP0024,PROD0176,WH008,1080,466.7,2024-01-22,2024-01-22,10,Rail,634.17,Advance Payment,NEFT
PO000140,2025-06-06,SUP0028,PROD0490,WH020,132,399.13,2025-06-11,2025-06-11,1,Road,283.84,Net 60,NEFT
PO000141,2025-07-11,SUP0041,PROD0484,WH024,383,321.33,2025-07-16,2025-07-16,4,Road,2609.86,Net 45,NEFT
PO000142,2024-03-11,SUP0018,PROD0118,WH027,427,81.03,2024-03-16,2024-03-16,5,Road,759.33,Net 60,RTGS
PO000143,2025-04-16,SUP0049,PROD0246,WH047,194,466.58,2025-04-21,2025-04-21,1,Road,914.2,Advance Payment,Bank Transfer
PO000144,2025-01-17,SUP0085,PROD0143,WH011,1698,866.92,2025-01-22,2025-01-28,28,Road,3671.56,Net 30,Bank Transfer
PO000145,2025-02-17,SUP0026,PROD0133,WH047,430,1711.84,2025-02-19,2025-02-19,8,Air,3026.14,Advance Payment,Cheque
PO000146,2025-02-01,SUP0003,PROD0015,WH023,53,6278.19,2025-02-06,2025-02-06,1,Road,1764.94,Net 90,NEFT
PO000147,2024-09-06,SUP0077,PROD0305,WH022,233,3400.83,2024-09-13,,1,Rail,1302.83,Net 30,Bank Transfer
PO000148,2024-02-09,SUP0038,PROD0247,WH005,259,1673.58,2024-02-14,2024-02-17,3,Road,,Net 60,Bank Transfer
PO000149,2024-08-25,SUP0092,PROD0025,WH048,1778,1247.78,2024-08-30,2024-08-30,4,Road,4526.37,Net 45,Cheque
PO000150,2025-01-09,SUP0014,PROD0132,WH034,243,571.23,2025-01-14,2025-01-14,7,Road,1312.23,Net 30,Cheque
PO000151,2026-04-17,SUP0001,PROD0459,WH031,435,301.22,2026-04-22,2026-04-30,3,Road,2957.89,Net 90,NEFT
PO000152,2024-02-15,SUP0092,PROD0111,WH047,739,333.75,2024-02-20,2024-02-20,6,Road,4785.1,Net 60,NEFT
PO000153,2024-03-12,SUP0100,PROD0066,WH037,850,275.12,2024-03-17,2024-03-17,8,Road,,Net 30,RTGS
PO000154,2026-03-14,SUP0118,PROD0242,WH047,1702,7410.34,2026-03-19,2026-03-16,55,Road,7738.13,Advance Payment,Cheque
PO000155,2024-11-07,SUP0114,PROD0495,WH026,395,2774.66,2024-11-12,2024-11-12,6,Road,1276.69,Net 90,NEFT
PO000156,2025-10-13,SUP0011,PROD0113,WH023,1801,363.59,2025-10-20,2025-10-20,74,Rail,,Net 90,Bank Transfer
PO000157,2025-08-11,SUP0107,PROD0335,WH043,537,1301.84,2025-08-16,2025-08-16,21,Road,9723.99,Net 30,Cheque
PO000158,2024-10-01,SUP0040,PROD0381,WH038,489,330.65,2024-10-15,2024-10-12,18,Sea,1081.39,Net 30,RTGS
PO000159,2025-10-23,SUP0004,PROD0111,WH038,1649,287.38,2025-10-28,2025-10-28,13,Road,8663.56,Net 90,Cheque
PO000160,2024-01-12,SUP0034,PROD0361,WH032,480,16563.76,2024-01-26,2024-01-29,0,Sea,1562.29,Net 30,Cheque
PO000161,2024-10-14,SUP0065,PROD0178,WH005,503,1265.13,2024-10-21,2024-10-21,7,Rail,853.63,Net 60,Bank Transfer
PO000162,2025-05-12,SUP0056,PROD0316,WH025,12,881.04,2025-05-17,2025-05-17,0,Road,855.5,Advance Payment,NEFT
PO000163,2025-07-03,SUP0010,PROD0318,WH033,147,1318.08,2025-07-08,2025-07-08,2,Road,702.96,Net 60,Bank Transfer
PO000164,2025-03-20,SUP0081,PROD0268,WH007,109,1070.95,2025-03-27,2025-03-27,2,Rail,690.56,Net 60,Cheque
PO000165,2025-07-03,SUP0071,PROD0040,WH016,79,684.62,2025-07-05,2025-07-05,1,Air,349.76,Advance Payment,RTGS
PO000166,2024-07-27,SUP0103,PROD0423,WH049,203,1678.9,2024-08-01,2024-08-01,1,Road,1603.23,Net 60,Bank Transfer
PO000167,2025-05-24,SUP0064,PROD0156,WH029,145,296.21,2025-05-29,2025-05-26,2,Road,301.85,Net 60,Cheque
PO000168,2026-04-27,SUP0013,PROD0088,WH015,217,290.37,2026-05-02,2026-05-04,4,Road,,Net 30,Bank Transfer
PO000169,2025-06-07,SUP0022,PROD0016,WH020,1052,547.8,2025-06-12,2025-06-22,38,Road,1053.96,Net 45,Bank Transfer
PO000170,2024-12-22,SUP0056,PROD0296,WH022,1398,15034.01,2024-12-27,,7,Road,,Net 30,Bank Transfer
PO000171,2024-02-15,SUP0065,PROD0337,WH010,275,1844.45,2024-02-22,2024-02-22,4,Rail,1663.15,Net 60,Cheque
PO000172,2026-04-27,SUP0092,PROD0006,WH008,1268,153.6,2026-05-02,2026-05-01,11,Road,2680.61,Net 60,Cheque
PO000173,2025-08-03,SUP0097,PROD0254,WH032,122,16022.33,2025-08-10,2025-08-10,2,Rail,2703.93,Net 30,Bank Transfer
PO000174,2025-08-05,SUP0013,PROD0105,WH028,880,418.07,2025-08-10,2025-08-10,24,Road,7678.53,Net 30,Cheque
PO000175,2026-01-30,SUP0001,PROD0321,WH009,273,8344.54,2026-02-13,2026-02-21,5,Sea,1409.57,Net 60,RTGS
PO000176,2024-08-06,SUP0038,PROD0081,WH031,1947,2688.01,2024-08-11,2024-08-11,55,Road,11199.16,Net 45,NEFT
PO000177,2024-10-08,SUP0119,PROD0344,WH023,44,2869.0,2024-10-22,,0,Sea,2070.22,Advance Payment,Bank Transfer
PO000178,2024-03-17,SUP0058,PROD0187,WH019,1744,434.53,2024-03-19,2024-03-23,47,Air,22216.61,Net 90,Bank Transfer
PO000179,2024-08-14,SUP0025,PROD0476,WH032,1381,12482.72,2024-08-16,2024-08-16,49,Air,244196.62,Net 60,Cheque
PO000180,2024-02-15,SUP0042,PROD0063,WH010,733,319.88,2024-02-20,2024-02-25,25,Road,3272.81,Advance Payment,Cheque
PO000181,2026-07-01,SUP0085,PROD0167,WH020,381,432.7,2026-07-08,2026-07-08,8,Rail,,Net 45,Bank Transfer
PO000182,2025-01-16,SUP0033,PROD0052,WH035,546,1108.06,2025-01-21,2025-01-21,12,Road,3080.77,Net 30,Bank Transfer
PO000183,2026-06-21,SUP0057,PROD0467,WH031,412,3116.6,2026-06-26,2026-06-26,10,Road,4054.19,Net 30,Cheque
PO000184,2025-04-01,SUP0037,PROD0442,WH011,190,692.66,2025-04-06,2025-04-06,5,Road,808.58,Advance Payment,RTGS
PO000185,2025-09-09,SUP0118,PROD0120,WH043,205,932.42,2025-09-14,2025-09-14,6,Road,808.14,Advance Payment,Bank Transfer
PO000186,2024-03-04,SUP0057,PROD0327,WH040,312,58.9,2024-03-09,2024-03-09,4,Road,1110.38,Net 30,RTGS
PO000187,2025-09-22,SUP0098,PROD0413,WH010,142,2468.66,2025-09-27,2025-09-24,0,Road,1105.2,Net 60,Bank Transfer
PO000188,2026-05-26,SUP0062,PROD0277,WH009,91,2564.98,2026-05-31,2026-05-31,0,Road,,Net 90,Cheque
PO000189,2024-05-04,SUP0003,PROD0265,WH042,290,2046.51,2024-05-11,2024-05-11,8,Rail,1384.76,Net 45,NEFT
PO000190,2025-03-01,SUP0030,PROD0113,WH010,1705,305.11,2025-03-03,2025-03-03,56,Air,29345.27,Advance Payment,RTGS
PO000191,2026-06-05,SUP0119,PROD0042,WH050,419,1683.96,2026-06-10,2026-06-10,7,Road,782.72,Net 45,Cheque
PO000192,2026-01-31,SUP0067,PROD0453,WH037,249,207.14,2026-02-05,2026-02-11,2,Road,1639.34,Net 45,NEFT
PO000193,2025-04-30,SUP0063,PROD0454,WH037,575,175.26,2025-05-14,2025-05-13,8,Sea,384.04,Net 90,Bank Transfer
PO000194,2024-02-22,SUP0082,PROD0317,WH007,20,414.51,2024-02-24,2024-02-24,0,Air,1224.67,Net 30,NEFT
PO000195,2024-05-21,SUP0023,PROD0165,WH020,80,234.57,2024-05-26,2024-05-26,0,Road,1373.15,Advance Payment,NEFT
PO000196,2024-02-06,SUP0072,PROD0172,WH020,152,680.09,2024-02-11,2024-02-20,7,Road,,Net 45,NEFT
PO000197,2025-06-08,SUP0073,PROD0359,WH008,319,3379.16,2025-06-22,2025-06-20,8,Sea,1281.47,Net 60,Cheque
PO000198,2025-08-06,SUP0066,PROD0453,WH017,278,240.88,2025-08-11,2025-08-18,1,Road,2387.54,Net 60,Bank Transfer
